datetime,retriever,context_recall,faithfulness,factual_correctness,answer_relevancy,context_entity_recall,noise_sensitivity_relevant,comments
2025-08-02 02:04:48,Naive,0.3506944444444444,0.6136331514627661,0.4158333333333333,0.549342782031235,0.2486207471648073,0.1537202380952381,"Initial setup, some issues"
2025-08-02 02:06:59,Naive,0.238095238095238,0.5826335010942544,0.3725,0.5456077236043503,0.166617646858733,0.1440662785490371,"First run, fixed issues"
2025-08-02 02:16:40,Contextual Compression,0.3328373015873015,0.6073322229178991,0.3991666666666666,0.5555069048515443,0.1839469602913706,0.1788194444444444,"Initial setup, some issues"
2025-08-02 02:18:48,Contextual Compression,0.236111111111111,0.5234803817723468,0.3716666666666666,0.7809577410790688,0.1276792833005023,0.2588183198380567,"First run, fixed issues"
2025-08-02 02:20:57,MultiQuery,0.1507936507936507,0.3588124059245975,0.2833333333333334,0.3146592550905805,0.0949690401637702,0.0,"Initial setup, some issues"
2025-08-02 02:35:38,MultiQuery,0.1547619047619047,0.3532838234878662,0.3799999999999999,0.2340082658610336,0.0818782249062905,0.1106237816764132,"First run, fixed issues"
2025-08-02 02:54:31,Parent Document,0.1344246031746031,0.3718337919963306,0.3124999999999999,0.3100419067197136,0.0856460532145907,0.0528571428571428,"Initial setup, some issues"
2025-08-02 04:37:46,Parent Document,0.6686507936507936,0.8521421815973733,0.645,0.8673853826652619,0.4662848068527637,0.3790899975064468,"First run, fixed issues"
2025-08-02 07:36:16,Naive,0.0416666666666666,0.0448717948717948,0.5208333333333334,0.8622588058867078,0.008333333325,0.0,All issues fixed
2025-08-02 07:43:07,Contextual Compression,0.0763888888888888,0.087037037037037,0.5191666666666667,0.860120679460518,0.0206349206163643,0.0,All issues fixed
2025-08-02 07:58:50,MultiQuery,0.0416666666666666,0.1076470588235294,0.5441666666666666,0.7835573207697863,0.0325396825154572,0.1764705882352941,All issues fixed
2025-08-02 08:13:14,Parent Document,0.8888888888888888,0.8244479229475479,0.6475000000000001,0.8618183673661868,0.2424713742468651,0.2990839613061835,All issues fixed
2025-08-02 12:28:47,Naive,0.7611111111111111,0.8797081086554771,0.5508333333333334,0.8733059176470498,0.3446293277231051,0.2645884902850847,"Lots of improvements, hybrid datasets"
2025-08-02 12:35:44,Contextual Compression,0.4734126984126983,0.7155023625611862,0.4125,0.6185771838583125,0.2855218844692225,0.2344467079761197,"Lots of improvements, hybrid datasets"
2025-08-02 12:46:09,MultiQuery,0.4793650793650794,0.7770601394172263,0.3683333333333333,0.703520490353489,0.2983002281040757,0.1355192794821277,"Lots of improvements, hybrid datasets"
2025-08-02 12:53:17,Parent Document,0.5972222222222222,0.7487834741511211,0.4108333333333334,0.6212429147118725,0.39667508299957377,0.2093181328475446,"Lots of improvements, hybrid datasets"
